Issue Type,Issue key,Issue id,Summary,Custom field (Variant),Assignee,Due Date,Labels,Labels,Labels,Status,Reporter
Enhancement,DEIPCNBS20-963,1406381,add NBIF_SOC_IntrWake to MI200 and Floyd and following dGPU/Servers,MI200,siluo,,ICT::CIP::CRB::Denied,,,Closed,siluo
Documentation,DEIPCNBS20-960,1405561,[MI200][MAS]BigAPU register/strap and sideband difference collection,MI200,chengli,,,,,Implemented,benpeng
Documentation,DEIPCNBS20-959,1342166,[MI200][MAS]Need details for MI200-PRS-253Support maximaly 16 xGMI connected dies (8 SGM),MI200,buhengxu,30/Jun/19 12:00 AM,,,,Opened,benpeng
Documentation,DEIPCNBS20-958,1343009,[MI200]MAS implementation for legacy features,MI200,buhengxu,30/Jun/19 12:00 AM,,,,Implemented,benpeng
Defect,DEIPCNBS20-957,1354574,v21 ringbuffer send more interrupt,MI200,bibliu1,,,,,Opened,benpeng
Defect,DEIPCNBS20-956,1369394,[MI200] MAS about HDP PERFORMENCE,MI200,pfli,,,,,Rejected,pfli
Task,DEIPCNBS20-955,1402548,[NBIF][MI200][TODOclean],MI200,antli,,,,,Closed,benpeng
Task,DEIPCNBS20-954,1326905,[MI200][review]clean up Design TODO list,MI200,shawhan,25/Jun/19 12:00 AM,,,,Closed,benpeng
Task,DEIPCNBS20-953,1326922,[review]clean up Design TODO list,MI200,shawhan,25/Jun/19 12:00 AM,,,,Closed,benpeng
Task,DEIPCNBS20-952,1337450,[MI200] incorrect feature variable usage clean up,MI200,shawhan,14/Jun/19 12:00 AM,,,,Closed,benpeng
Documentation,DEIPCNBS20-951,1342162,[MI200][MAS]VF/MAX_VF_NUM not clear in MAS,MI200,buhengxu,30/Jun/19 12:00 AM,,,,Closed,benpeng
Enhancement,DEIPCNBS20-950,1404616,[MI200] Invalid block name bif_cfg_dev0_dwn in BAPU mode.,MI200,jyang4,,MI200_NBIO_SS,,,Opened,jyang4
Tracking,DEIPCNBS20-948,1401480,[MI200 NBIO DV] check gdc_order_checker.svh issue,MI200,jiaqiu,,MI200_NBIO_SS,,,Closed,jiaqiu
Documentation,DEIPCNBS20-945,1400499,[MI200]ReqCredit issue between NBIF and IOAGR,MI200,smchen,13/Sep/19 12:00 AM,,,,Implemented,benpeng
Enhancement,DEIPCNBS20-942,1400328,[MI200]nbif tb.pending_finish_reg not suitable for NBIO tb.,MI200,jyang4,,MI200_NBIO_SS,,,Opened,jyang4
Defect,DEIPCNBS20-941,1400310,[mi200] mp1 perf counter counts mp1dram trans,MI200,wangr1,20/Sep/19 12:00 AM,,,,Closed,wangr1
Defect,DEIPCNBS20-939,1398399,mi200 support bypass_en dynamic change,MI200,siluo,15/Oct/19 12:00 AM,,,,Deferred,shiyan
Task,DEIPCNBS20-928,1393420,[MI200]pwrbrk test timeout,MI200,leimu102,,MI200_NBIO_RTL,MI200_NBIO_SS,,Closed,leimu102
